sep=,
CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.wind,HOME.dataRecorderFileIndex,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.message,APP.tip,APP.warning
6/22/2023,8:04:43.06 PM,0m 0.1s,0.1,43.042887928905,-77.6663249592564,0,0,0.3,562,0,,,,,,,,,-5.6,-0.2,103.8,103.8,Starting Motors,Other,,20,5,True,,Mini 3 Pro,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,103.4,103.4,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1656,N,False,False,False,False,False,0,False,False,False,False,72,7.853,1636,2285,7.853,False,3.927,3.926,0.001,False,False,0.938,90.9,90.8,90.8,,,,,,,,,Idle,,,True,,False,10,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,Calm,,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,101.4,0.7,39.3,9.437649,6.71082,0,4049,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,DJI Fly,, 1.8.0,54E6999D-4E41-3C56-C869-63925F82E9FA,1581F4XF3229R006W0A6,,,,,,,,,,
6/22/2023,8:04:43.26 PM,0m 0.3s,0.3,43.0428878765601,-77.6663249585729,0,0,0.3,562,0,,,,,,,,,-5.6,-0.2,103.7,103.7,Starting Motors,Other,,20,5,True,,Mini 3 Pro,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,103.4,103.4,False,False,False,False,False,False,,True,Normal,100,100,364,364,729,1403,N,False,False,False,False,False,0,False,False,False,False,72,7.853,1636,2285,7.853,False,3.927,3.926,0.001,False,False,0.938,90.9,90.8,90.8,,,,,,,,,Idle,,,True,,False,10,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,Calm,,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,101.4,0.7,39.3,9.437649,6.71082,0,4049,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,DJI Fly,, 1.8.0,54E6999D-4E41-3C56-C869-63925F82E9FA,1581F4XF3229R006W0A6,,,,,,,,,,
6/22/2023,8:04:43.46 PM,0m 0.5s,0.5,43.0428878085637,-77.6663249553223,0,0,0,562,0,,,,,,,,,-5.6,0,103.3,103.3,Starting Motors,Other,,20,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,103.4,103.4,False,False,False,False,False,False,,True,Normal,100,100,777,773,1548,941,N,False,False,False,False,False,0,False,False,False,False,72,7.853,1636,2285,7.853,False,3.927,3.926,0.001,False,False,0.938,90.9,90.8,90.8,,,,,,,,,Idle,,,True,,False,10,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0428815385077,-77.6663165032828,3.2,436.3,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,48,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,101.4,0.7,39.3,9.437649,6.71082,0,4049,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,DJI Fly,, 1.8.0,54E6999D-4E41-3C56-C869-63925F82E9FA,1581F4XF3229R006W0A6,,,,,,,,Data Recorder File Index is 48.,,
6/22/2023,8:04:43.67 PM,0m 0.7s,0.7,43.0428877538785,-77.6663249511706,0,0,0,562,0,,,,,,,,,-5.6,0,103.3,103.3,Starting Motors,Other,,20,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,103.4,103.4,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1684,1024,N,False,False,False,False,False,0,False,False,False,False,72,7.853,1636,2285,7.853,False,3.927,3.926,0.001,False,False,0.938,90.9,90.8,90.8,,,,,,,,,Idle,,,True,,False,10,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0428815385077,-77.6663165032828,3.1,436.3,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,48,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,101.4,0.7,39.3,9.437649,6.71082,0,4049,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,DJI Fly,, 1.8.0,54E6999D-4E41-3C56-C869-63925F82E9FA,1581F4XF3229R006W0A6,,,,,,,,,,
6/22/2023,8:04:43.87 PM,0m 0.9s,0.9,43.0428877109497,-77.6663249450019,0,0,0,562,0,,,,,,,,,-5.6,0,103.3,103.3,Starting Motors,Other,,20,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,103.4,103.4,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1684,1024,N,False,False,False,False,False,0,False,False,False,False,72,7.821,1636,2285,7.821,False,3.927,3.926,0.001,False,False,1.523,90.9,90.8,90.8,,,,,,,,,Idle,,,True,,False,10,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0428815385077,-77.6663165032828,3.1,436.3,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,48,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,101.4,0.7,39.3,9.437649,6.71082,0,4049,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,DJI Fly,, 1.8.0,54E6999D-4E41-3C56-C869-63925F82E9FA,1581F4XF3229R006W0A6,,,,,,,,,,
6/22/2023,8:04:43.97 PM,0m 1.1s,1.1,43.0428876807645,-77.6663249306449,0,0,0,562,0,,,,,,,,,-5.6,0,103.3,103.3,Starting Motors,Other,,20,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,103.4,103.4,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1684,1024,N,False,False,False,False,False,0,False,False,False,False,72,7.796,1636,2285,7.796,False,3.898,3.898,0.001,False,False,1.523,90.9,90.8,90.8,,,,,,,,,Idle,,,True,,False,10,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0428815385077,-77.6663165032828,3.1,436.3,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,48,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,101.4,0.7,39.3,9.437649,6.71082,0,4049,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,DJI Fly,, 1.8.0,54E6999D-4E41-3C56-C869-63925F82E9FA,1581F4XF3229R006W0A6,,,,,,,,,,
6/22/2023,8:04:44.28 PM,0m 1.3s,1.3,43.0428876594755,-77.6663248926464,0,0,0,562,0,,,,,,,,,-5.6,0,103.5,103.5,Starting Motors,Other,,20,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,103.4,103.4,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1684,1024,N,False,False,False,False,False,0,False,False,False,False,72,7.796,1636,2285,7.796,False,3.898,3.898,0.001,False,False,1.523,90.9,90.8,90.8,,,,,,,,,Idle,,,True,,False,10,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0428815385077,-77.6663165032828,3.1,436.3,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,48,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,101.4,0.7,39.3,9.437649,6.71082,0,4049,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,DJI Fly,, 1.8.0,54E6999D-4E41-3C56-C869-63925F82E9FA,1581F4XF3229R006W0A6,,,,,,,,,,
6/22/2023,8:04:44.38 PM,0m 1.5s,1.5,43.0428876353401,-77.6663248509592,0,0,0,562,0,,,,,,,,,-5.6,0,103.5,103.5,Starting Motors,Other,,20,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,103.4,103.4,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1684,1024,N,False,False,False,False,False,0,False,False,False,False,72,7.796,1636,2285,7.796,False,3.898,3.898,0.001,False,False,1.523,90.9,90.8,90.8,,,,,,,,,Idle,,,True,,False,10,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0428815385077,-77.6663165032828,3.1,436.3,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,48,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,101.4,0.7,39.3,9.437649,6.71082,0,4049,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,DJI Fly,, 1.8.0,54E6999D-4E41-3C56-C869-63925F82E9FA,1581F4XF3229R006W0A6,,,,,,,,,,
6/22/2023,8:04:44.58 PM,0m 1.7s,1.7,43.0428875951515,-77.6663247914278,0,0,0,562,0.1,,,,,,,,,-5.6,0,103.4,103.4,Manual Takeoff,Other,,20,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,103.4,103.4,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1684,1024,N,False,False,False,False,False,0,False,False,False,False,72,7.796,1636,2285,7.796,False,3.898,3.898,0.001,False,False,1.523,90.9,90.8,90.8,,,,,,,,,Idle,,,True,,False,10,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0428815385077,-77.6663165032828,3.1,436.3,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,48,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,101.4,0.7,39.3,9.437649,6.71082,0,4049,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,DJI Fly,, 1.8.0,54E6999D-4E41-3C56-C869-63925F82E9FA,1581F4XF3229R006W0A6,,,,,,,,,,
6/22/2023,8:04:44.89 PM,0m 1.9s,1.9,43.0428875670096,-77.6663247515486,0,0,0,562,0.1,,,,,,,,,-5.6,-0.1,103.3,103.3,Manual Takeoff,Other,,20,5,True,,Mini 3 Pro,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,103.4,103.4,False,False,False,False,False,False,,True,Normal,100,100,1024,1024,1684,1024,N,False,False,False,False,False,0,False,False,False,False,72,7.812,1635,2285,7.812,False,3.898,3.898,0.001,False,False,2.78,90.9,90.8,90.8,,,,,,,,,Idle,,,True,,False,10,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,43.0428815385077,-77.6663165032828,3.1,436.3,1640.4,True,1,1,False,False,False,False,,True,False,False,,328,,16.4,Calm,48,, 1.8.0,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,101.4,0.7,39.3,9.437649,6.71082,0,4049,DJI Mini 3 Pro,1581F4XF3229R006,53HFK5R0M30ACD,5HAZK6H0018AUR,52XPK6HCA105XX,DJI Fly,, 1.8.0,54E6999D-4E41-3C56-C869-63925F82E9FA,1581F4XF3229R006W0A6,,,,,,,,,,
